Nombre;Descripción;Precio;Stock;Categoría;Marca;Proveedor;IGV
Protector Solar para Parabrisas;Pantalla plegable para reducir el calor interior;55;30;Accesorios exteriores;Michelin;Importadora Alfa;no
Película Antilluvia para Espejos;Lámina hidrofóbica para mejorar la visibilidad;30;40;Accesorios exteriores;Baseus;Multirepuestos;no
Protector de Bordes de Puerta;Tiras de goma para evitar golpes y rayaduras;45;28;Accesorios exteriores;3M;Autopartes SAC;si
Vinilo Decorativo para Capó;Adhesivo resistente para personalizar el vehículo;120;12;Accesorios exteriores;Oracal;Bosch Perú;si
Cubierta para Llanta de Repuesto;Funda impermeable para rueda de repuesto;90;18;Accesorios exteriores;Michelin;Importadora Alfa;si
Protector Transparente para Faros;Lámina protectora contra rayaduras e impactos;85;20;Accesorios exteriores;3M;Bosch Perú;si
Tapas Cromadas para Espejos;Cubiertas decorativas de acabado cromado;75;15;Accesorios exteriores;Original;Multirepuestos;si
Protector de Borde de Maletera;Moldura para proteger el borde de carga;95;10;Accesorios exteriores;Original;Autopartes SAC;si
Kit de Calcomanías Reflectivas;Adhesivos reflectantes de seguridad para carrocería;35;35;Accesorios exteriores;Truper;Importadora Alfa;no
Cubierta para Antena;Funda protectora para antena exterior;20;25;Accesorios exteriores;Baseus;Multirepuestos;no
